procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 489696  15732 241020    0    0     0     0 1130  471  0 76 24  0  0  0
 0  0      0 490392  15732 241020    0    0     0    12 1070  438  0 70 30  0  0  0
 6  0      0 487220  15740 241020    0    0     0    32  966  351  1 60 39  0  0  0
 2  0      0 489572  15740 241024    0    0     0     0  729  284  0 39 61  0  0  0
 1  0      0 490096  15740 241024    0    0     0     0 1379  473  0 96  4  0  0  0
 4  0      0 489108  15740 241024    0    0     0     0 1058  404  0 65 35  0  0  0
 1  0      0 489392  15748 241020    0    0     0    36 1427  604  1 99  0  0  0  0
 0  0      0 489184  15748 241028    0    0     0     4 1030  339  0 65 35  0  0  0
 2  0      0 489652  15748 241028    0    0     0     0  846  301  1 48 51  0  0  0
 2  0      0 489116  15748 241032    0    0     0     0  797  209  0 43 57  0  0  0
 3  0      0 488080  15748 241032    0    0     0     0  847  332  1 49 50  0  0  0
 3  0      0 488824  15752 241028    0    0     0    36 1252  480  0 79 21  0  0  0
 2  0      0 488724  15756 241032    0    0     0     4 1240  501  1 81 18  0  0  0
 1  0      0 489136  15756 241036    0    0     0     4 1329  463  0 91  9  0  0  0
 2  0      0 489120  15756 241036    0    0     0     0  962  221  1 62 37  0  0  0
 1  0      0 489140  15756 241036    0    0     0     0 1170  357  0 74 26  0  0  0
 1  0      0 489868  15756 241036    0    0     0     0 1271  343  0 84 16  0  0  0
 3  0      0 489008  15764 241040    0    0     0    28  840  285  0 48 52  0  0  0
 0  0      0 490184  15764 241040    0    0     0     0 1316  438  1 86 13  0  0  0
 0  0      0 490048  15764 241044    0    0     0     8 1059  211  0 69 31  0  0  0
 0  0      0 489940  15764 241048    0    0     0     0  977  208  0 60 40  0  0  0
 2  0      0 488524  15764 241048    0    0     0     0  938  336  1 55 44  0  0  0
 0  0      0 490036  15772 241048    0    0     0    44  992  364  0 61 39  0  0  0
 4  0      0 486604  15772 241048    0    0     0     0  780  315  0 44 56  0  0  0
 3  0      0 488136  15772 241052    0    0     0     0  958  236  0 57 43  0  0  0
 1  0      0 489296  15772 241052    0    0     0     4 1192  445  0 79 21  0  0  0
 0  0      0 490224  15772 241052    0    0     0     0  790  265  1 45 54  0  0  0
 2  0      0 488480  15780 241056    0    0     0    48  807  189  0 47 53  0  0  0
 1  0      0 489152  15780 241056    0    0     0     0  972  289  0 61 39  0  0  0
 0  0      0 490024  15780 241056    0    0     0     0  865  251  0 51 49  0  0  0
 1  0      0 489600  15780 241056    0    0     0     0  820  271  1 47 52  0  0  0
 2  0      0 488252  15780 241060    0    0     0     4 1045  255  0 66 34  0  0  0
 2  0      0 489844  15788 241060    0    0     0    40  823  266  0 48 52  0  0  0
 0  0      0 489872  15788 241060    0    0     0     0 1194  378  0 78 22  0  0  0
 0  0      0 490168  15788 241064    0    0     0     0 1292  378  0 87 13  0  0  0
 1  0      0 489332  15788 241064    0    0     0     0 1074  191  0 70 30  0  0  0
 2  0      0 489332  15788 241064    0    0     0     0 1006  354  1 61 38  0  0  0
 0  0      0 489912  15796 241068    0    0     0    40  641  246  0 33 67  0  0  0
 1  0      0 489544  15796 241072    0    0     0     0  781  237  1 45 53  0  0  0
 2  0      0 489016  15796 241072    0    0     0     0 1374  424  0 94  6  0  0  0
 1  0      0 489796  15796 241072    0    0     0     0 1236  374  0 83 18  0  0  0
 2  0      0 489984  15796 241076    0    0     0     0  742  177  0 42 58  0  0  0
 4  0      0 488760  15804 241076    0    0     0    28 1190  352  1 76 23  0  0  0
 3  0      0 489404  15804 241076    0    0     0    16 1399  687  0 100  0  0  0  0
 2  0      0 488588  15804 241076    0    0     0     0 1332  584  0 92  8  0  0  0
 4  0      0 488124  15804 241080    0    0     0     0  863  307  0 54 46  0  0  0
 2  0      0 489576  15812 241072    0    0     0    28 1002  392  0 64 36  0  0  0
 5  0      0 486956  15812 241080    0    0     0     0  833  288  1 47 52  0  0  0
 0  0      0 489712  15812 241084    0    0     0     8 1337  525  0 94  6  0  0  0
 0  0      0 489960  15812 241084    0    0     0     4 1286  528  0 90 10  0  0  0
 0  0      0 489996  15812 241084    0    0     0     0  586  157  0 33 67  0  0  0
 0  0      0 490156  15812 241084    0    0     0     0  796  178  0 46 54  0  0  0
 4  0      0 488132  15820 241084    0    0     0    28  943  366  1 56 43  0  0  0
 1  0      0 489948  15820 241088    0    0     0    12 1106  302  0 68 32  0  0  0
 0  0      0 490144  15820 241088    0    0     0     0  874  194  0 53 47  0  0  0
 2  0      0 488712  15820 241088    0    0     0     4  994  259  0 60 40  0  0  0
 0  0      0 489944  15820 241092    0    0     0     0  750  245  0 42 58  0  0  0
 0  0      0 489936  15828 241092    0    0     0    28 1115  438  1 70 28  0  0  0
 4  0      0 488284  15828 241092    0    0     0     8 1165  355  0 77 23  0  0  0
 2  0      0 488932  15828 241096    0    0     0     0  881  355  0 55 45  0  0  0
 0  0      0 489472  15828 241096    0    0     0     0 1291  529  0 90 10  0  0  0
 0  0      0 490180  15828 241096    0    0     0     4  994  380  1 61 38  0  0  0
 4  0      0 487396  15836 241096    0    0     0    44  661  215  0 36 64  0  0  0
 1  0      0 489664  15836 241100    0    0     0    12 1119  349  0 74 26  0  0  0
 3  0      0 489576  15836 241100    0    0     0     0 1240  390  0 83 17  0  0  0
 4  0      0 488152  15836 241100    0    0     0     0  892  219  0 53 47  0  0  0
 0  0      0 489912  15836 241104    0    0     0     0 1357  571  0 95  5  0  0  0
 6  0      0 486480  15844 241104    0    0     0    32 1373  594  1 92  7  0  0  0
 0  0      0 490028  15844 241108    0    0     0     0  713  254  1 40 58  0  0  0
 0  0      0 490156  15844 241108    0    0     0     8  737  186  0 42 58  0  0  0
 0  0      0 489896  15844 241112    0    0     0     0  680  138  0 38 62  0  0  0
 1  0      0 489004  15844 241112    0    0     0     0  949  275  0 55 45  0  0  0
 1  0      0 489088  15852 241112    0    0     0    32 1027  312  1 60 38  0  0  0
 1  0      0 489696  15852 241112    0    0     0     8  993  303  1 59 40  0  0  0
 1  0      0 489464  15852 241116    0    0     0    12  993  199  0 60 40  0  0  0
 1  0      0 489212  15852 241116    0    0     0     0  880  241  0 52 48  0  0  0
 2  0      0 488180  15852 241116    0    0     0     0 1416  576  0 100  0  0  0  0
 5  0      0 487812  15860 241108    0    0     0    36 1084  431  0 68 32  0  0  0
 1  0      0 488976  15860 241120    0    0     0     0  971  397  1 61 37  0  0  0
 3  0      0 488664  15860 241120    0    0     0    12 1407  593  0 100  0  0  0  0
 3  0      0 489892  15860 241124    0    0     0     0 1279  381  0 88 12  0  0  0
 0  0      0 490060  15860 241124    0    0     0     0  381  141  0 19 81  0  0  0
 2  0      0 488680  15868 241124    0    0     0    28 1032  339  0 65 35  0  0  0
 1  0      0 489636  15868 241124    0    0     0     0 1094  373  0 69 31  0  0  0
 3  0      0 487864  15868 241128    0    0     0    12 1041  330  1 65 34  0  0  0
 1  0      0 488928  15868 241128    0    0     0     4  881  281  0 51 49  0  0  0
 0  0      0 490016  15868 241128    0    0     0     0  766  278  0 44 56  0  0  0
 2  0      0 488816  15876 241128    0    0     0    28 1221  323  0 79 21  0  0  0
 2  0      0 489644  15876 241132    0    0     0     0 1004  275  1 63 35  0  0  0
 0  0      0 489976  15876 241132    0    0     0     0 1181  418  0 77 23  0  0  0
 6  0      0 487036  15876 241132    0    0     0     8  913  288  1 55 44  0  0  0
 6  0      0 488472  15876 241132    0    0     0     4 1376  628  0 100  0  0  0  0
 1  0      0 489860  15884 241128    0    0     0    28 1373  691  0 100  0  0  0  0
 7  0      0 487132  15884 241140    0    0     0     0  862  280  0 52 48  0  0  0
 0  0      0 490084  15884 241140    0    0     0     0  926  410  0 61 39  0  0  0
 0  0      0 490204  15884 241144    0    0     0     0  869  203  0 54 46  0  0  0
 0  0      0 489828  15884 241144    0    0     0    12  827  299  1 49 50  0  0  0
 0  0      0 489584  15884 241144    0    0     0     4  728  246  0 40 60  0  0  0
 1  0      0 488920  15892 241148    0    0     0    52 1086  393  1 66 33  0  0  0
