procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  0     12 134500  15492 584824    0    0     0     0 1364  650  0 100  0  0  0  0
14  0     12 135652  15492 584824    0    0     0     4 1349  691  1 99  0  0  0  0
14  0     12 135960  15500 584824    0    0     0    36 1430  702  0 100  0  0  0  0
14  0     12 135504  15500 584828    0    0     0     0 1390  649  0 100  0  0  0  0
15  0     12 137020  15500 584828    0    0     0     0 1331  683  0 100  0  0  0  0
14  0     12 136940  15500 584828    0    0     0     0 1309  688  1 99  0  0  0  0
11  0     12 136272  15500 584832    0    0     0     0 1320  690  0 100  0  0  0  0
11  0     12 136764  15508 584832    0    0     0    44 1410  690  0 100  0  0  0  0
14  0     12 135008  15508 584832    0    0     0     0 1442  640  0 100  0  0  0  0
12  0     12 134936  15508 584832    0    0     0     0 1419  636  1 99  0  0  0  0
 7  0     12 138872  15508 584836    0    0     0     0 1406  674  0 100  0  0  0  0
 5  0     12 139128  15508 584836    0    0     0     0 1347  690  0 100  0  0  0  0
 1  0     12 139936  15516 584840    0    0     0    40 1092  298  0 71 29  0  0  0
 7  0     12 138924  15516 584840    0    0     0     4  783  261  0 47 53  0  0  0
 1  0     12 139972  15516 584840    0    0     0     0 1250  512  1 86 13  0  0  0
 6  0     12 138588  15516 584840    0    0     0     0 1339  485  0 95  5  0  0  0
 1  0     12 140420  15516 584844    0    0     0     0 1101  373  0 77 23  0  0  0
 4  0     12 138848  15524 584844    0    0     0    36 1365  618  0 100  0  0  0  0
 7  0     12 138000  15524 584844    0    0     0     0 1141  425  1 75 24  0  0  0
 5  0     12 139608  15524 584848    0    0     0     8 1327  648  0 100  0  0  0  0
13  0     12 134692  15524 584848    0    0     0     0 1340  656  0 100  0  0  0  0
10  0     12 137200  15524 584852    0    0     0     0 1294  720  0 100  0  0  0  0
11  0     12 135436  15532 584848    0    0     0    32 1322  702  1 99  0  0  0  0
 7  0     12 138168  15532 584852    0    0     0     8 1306  718  0 100  0  0  0  0
 2  0     12 140604  15532 584856    0    0     0     0 1017  482  0 69 31  0  0  0
 0  0     12 141156  15532 584856    0    0     0     4 1011  470  0 68 32  0  0  0
 1  0     12 140616  15532 584856    0    0     0     0  558  215  0 32 68  0  0  0
 3  0     12 141080  15540 584860    0    0     0    40 1089  324  0 73 27  0  0  0
 4  0     12 139264  15540 584860    0    0     0    12 1234  396  0 86 14  0  0  0
10  0     12 135848  15540 584860    0    0     0     0 1340  632  1 99  0  0  0  0
 8  0     12 137320  15540 584860    0    0     0     0 1329  671  0 100  0  0  0  0
11  0     12 136016  15540 584864    0    0     0     4 1330  695  0 100  0  0  0  0
15  0     12 133716  15548 584856    0    0     0    28 1321  637  1 99  0  0  0  0
14  0     12 134024  15548 584864    0    0     0     8 1272  666  0 100  0  0  0  0
13  0     12 135816  15548 584864    0    0     0     0 1316  707  0 100  0  0  0  0
12  0     12 137480  15548 584868    0    0     0     0 1321  744  0 100  0  0  0  0
11  0     12 137500  15548 584868    0    0     0     0 1332  714  0 100  0  0  0  0
12  0     12 135624  15548 584868    0    0     0     4 1333  716  0 100  0  0  0  0
 7  0     12 137888  15556 584868    0    0     0    28 1326  742  0 100  0  0  0  0
 5  0     12 139248  15556 584872    0    0     0    12 1295  691  1 99  0  0  0  0
 8  0     12 139044  15556 584872    0    0     0     0 1342  682  0 100  0  0  0  0
 1  0     12 140732  15556 584876    0    0     0     0 1225  475  0 87 13  0  0  0
 2  0     12 139784  15556 584876    0    0     0     0  813  260  0 49 51  0  0  0
 0  0     12 140784  15564 584880    0    0     0    32 1009  400  0 65 35  0  0  0
 4  0     12 139124  15564 584880    0    0     0     8  989  283  1 57 41  0  0  0
 1  0     12 140264  15564 584884    0    0     0     0 1042  348  0 68 32  0  0  0
 0  0     12 140772  15564 584884    0    0     0     0 1163  414  0 77 23  0  0  0
 2  0     12 139460  15564 584884    0    0     0     0 1058  234  0 67 33  0  0  0
 0  0     12 141120  15572 584884    0    0     0    28 1326  541  0 95  5  0  0  0
 4  0     12 138868  15572 584888    0    0     0     4 1094  280  0 67 33  0  0  0
 2  0     12 139452  15572 584888    0    0     0    12  881  188  0 53 47  0  0  0
 5  0     12 138420  15572 584888    0    0     0     0 1447  573  0 100  0  0  0  0
 3  0     12 138896  15572 584888    0    0     0     0 1378  595  0 100  0  0  0  0
 0  0     12 140816  15580 584892    0    0     0    28 1280  498  1 90  9  0  0  0
 1  0     12 140364  15580 584892    0    0     0     0 1100  311  0 70 30  0  0  0
