procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0     12 147368  36072 555076    0    0     0     0  472  140  0 21 79  0  0  0
 1  0     12 147388  36080 555080    0    0     0    28  833  176  1 49 50  0  0  0
 0  0     12 148412  36080 555080    0    0     0     8  594  176  0 29 71  0  0  0
 0  0     12 148256  36080 555080    0    0     0     0  401  146  0 18 82  0  0  0
 0  0     12 147612  36080 555080    0    0     0     0  361  134  1 16 83  0  0  0
 1  0     12 148184  36080 555084    0    0     0     4  532  154  0 25 75  0  0  0
 1  0     12 147136  36088 555084    0    0     0    28  624  159  0 32 68  0  0  0
 0  0     12 148240  36088 555084    0    0     0     8  428  149  1 19 80  0  0  0
 0  0     12 148240  36088 555084    0    0     0     0  719  155  0 39 61  0  0  0
 0  0     12 148436  36088 555084    0    0     0     0  527  159  0 27 73  0  0  0
 1  0     12 147340  36088 555088    0    0     0     0  661  167  0 35 65  0  0  0
 1  0     12 147728  36088 555088    0    0     0     4  652  160  1 34 65  0  0  0
 1  0     12 147716  36096 555088    0    0     0    40  637  178  0 33 67  0  0  0
 0  0     12 147748  36096 555088    0    0     0     0  545  167  0 26 74  0  0  0
 0  0     12 147528  36096 555088    0    0     0     0  444  129  1 20 79  0  0  0
 0  0     12 148416  36096 555092    0    0     0     0  387  135  0 17 83  0  0  0
 0  0     12 147744  36096 555092    0    0     0     4  515  134  0 26 74  0  0  0
 1  0     12 148500  36104 555092    0    0     0    40  691  150  0 37 63  0  0  0
 0  0     12 147764  36104 555096    0    0     0     0  425  160  0 18 82  0  0  0
 0  0     12 147568  36104 555100    0    0     0     0  594  144  1 31 68  0  0  0
 0  0     12 147568  36104 555100    0    0     0     0  418  113  0 20 80  0  0  0
 0  0     12 148208  36104 555100    0    0     0     0  748  155  0 42 58  0  0  0
 0  0     12 148392  36112 555100    0    0     0    28  277  141  0  9 91  0  0  0
 0  0     12 148140  36112 555100    0    0     0    16  718  161  0 38 62  0  0  0
 1  0     12 147336  36112 555104    0    0     0     0  669  155  0 36 64  0  0  0
 0  0     12 147560  36112 555104    0    0     0     0  685  165  1 36 63  0  0  0
 0  0     12 148196  36112 555104    0    0     0     0  737  191  0 41 59  0  0  0
 0  0     12 148384  36120 555104    0    0     0    28  678  149  0 36 64  0  0  0
 0  0     12 148184  36120 555108    0    0     0    12  544  146  0 27 73  0  0  0
 0  0     12 148216  36120 555108    0    0     0     4  282  127  0 11 89  0  0  0
 0  0     12 145956  36120 555108    0    0     0     0  733  382  4 40 56  0  0  0
 1  0     12 147384  36120 555108    0    0     0     0  779  154  0 42 58  0  0  0
 0  0     12 147856  36128 555112    0    0     0   120  642  152  1 34 65  0  0  0
 1  0     12 148136  36128 555116    0    0     0     8  670  141  0 36 64  0  0  0
