procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   5936 258616  12176 456628    0    0    63    59  307    1  1 16 84  0  0  0
 1  0   5936 238960  12200 458168    0    0  1556     0  971  345 72 18  0  9  0  0
 1  0   5936 238708  12204 458728    0    0   584     0  874  541 70 14  0 16  0  0
 0  0   5936 238484  12224 459008    0    0   272     8  295  182 18  4 68 10  0  0
 0  0   5936 238484  12224 459008    0    0     0     0   53   84  0  0 100  0  0  0
 0  0   5936 238484  12224 459008    0    0     0     0   58   84  0  1 99  0  0  0
 0  0   5936 238484  12232 459008    0    0     0   188   65   97  0  0 100  0  0  0
 0  0   5936 238484  12232 459008    0    0     0     0   40   65  0  0 100  0  0  0
 0  0   5936 238484  12232 459008    0    0     0     0   50   77  0  0 100  0  0  0
 0  0   5936 238484  12232 459008    0    0     0     0   43   71  0  1 99  0  0  0
 0  0   5936 238484  12232 459008    0    0     0     0   53   75  0  0 100  0  0  0
 0  0   5936 238484  12240 459000    0    0     0    20   39   74  0  1 99  0  0  0
 0  0   5936 238484  12240 459008    0    0     0     4   48   73  0  0 100  0  0  0
 0  0   5936 238484  12240 459008    0    0     0     0   43   73  0  0 100  0  0  0
 0  0   5936 238484  12240 459008    0    0     0     0   55   96  0  1 99  0  0  0
 1  0   5936 269584  12240 459008    0    0     0     0  189   77  1  9 90  0  0  0
 0  0   5936 269432  12336 459012    0    0   100     0  438  136  0 27 64  9  0  0
 0  0   5936 269356  12344 459012    0    0     0    28  263  126  1 13 86  0  0  0
 0  0   5936 269512  12344 459012    0    0     0     4  442  128  0 24 76  0  0  0
 0  0   5936 269452  12344 459012    0    0     0     0  235   93  0 10 90  0  0  0
 0  0   5936 268812  12344 459012    0    0     0     8  461  142  0 24 76  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   5936 269384  12344 459016    0    0     0     0  229  102  0  9 91  0  0  0
 0  0   5936 269004  12352 459016    0    0     0    28  319  117  0 16 84  0  0  0
 0  0   5936 269248  12352 459016    0    0     0     0  358  119  0 17 83  0  0  0
 0  0   5936 268800  12352 459016    0    0     0     4  230  122  1  9 90  0  0  0
 0  0   5936 269440  12352 459016    0    0     0     0  459  151  0 24 76  0  0  0
 0  0   5936 268800  12352 459016    0    0     0     4  330  133  0 15 85  0  0  0
 1  0   5936 269188  12352 459016    0    0     0     0  466  118  0 25 75  0  0  0
 1  0   5936 269492  12360 459016    0    0     0    16  486  127  0 25 75  0  0  0
 0  0   5936 269476  12360 459016    0    0     0     0  376  126  0 19 81  0  0  0
 0  0   5936 269000  12360 459016    0    0     0     4  300  143  0 14 86  0  0  0
 0  0   5936 269132  12360 459020    0    0     0   468  331  176  1 13 86  0  0  0
 0  0   5936 269472  12360 459020    0    0     0     8  213  149  0  6 94  0  0  0
 2  0   5936 268744  12368 459020    0    0     0    36  190  134  0  7 93  0  0  0
 0  0   5936 269376  12368 459020    0    0     0     0  353  140  0 17 83  0  0  0
 1  0   5936 269136  12368 459020    0    0     0     0  233  124  1 10 89  0  0  0
 0  0   5936 269432  12368 459020    0    0     0     4  210  123  0  6 94  0  0  0
 1  0   5936 268892  12368 459020    0    0     0     4  395  124  0 19 81  0  0  0
 1  0   5936 269200  12376 459012    0    0     0    16  541  134  0 29 71  0  0  0
 0  0   5936 269332  12376 459020    0    0     0     0  435  138  0 22 78  0  0  0
 0  0   5936 268884  12376 459020    0    0     0     0  288  121  0 13 88  0  0  0
 0  0   5936 269332  12376 459020    0    0     0     0  246  115  0 11 89  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   5936 268880  12376 459020    0    0     0     4  307  142  1 14 84  0  0  0
 3  0   5936 268688  12384 459024    0    0     0    20  266  151  0 11 89  0  0  0
