procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   5936 264148  15168 460492    0    0    55    53  345    1  1 18 82  0  0  0
 0  0   5936 264148  15168 460496    0    0     0     4   55   75  0  0 100  0  0  0
 0  0   5936 263908  15168 460496    0    0     0     0   61   90  0  1 99  0  0  0
 0  0   5936 263908  15168 460496    0    0     0     0   43   71  0  0 100  0  0  0
 0  0   5936 263908  15168 460496    0    0     0     0   46   75  0  0 100  0  0  0
 0  0   5936 263908  15168 460496    0    0     0     0   42   72  0  0 100  0  0  0
 0  0   5936 263908  15176 460496    0    0     0    36   56   86  0  1 99  0  0  0
 0  0   5936 263908  15176 460496    0    0     0     0   37   63  0  0 100  0  0  0
 1  0   5936 263908  15176 460496    0    0     0     0   39   70  0  0 100  0  0  0
 0  0   5936 263908  15176 460496    0    0     0     0   36   58  0  1 99  0  0  0
 0  0   5936 263908  15176 460496    0    0     0     0   54   84  0  0 100  0  0  0
 0  0   5936 263908  15176 460496    0    0     0     0   43   77  0  0 100  0  0  0
 0  0   5936 263908  15184 460496    0    0     0    24   62   87  0  1 99  0  0  0
 0  0   5936 263908  15184 460496    0    0     0     0   39   73  0  0 100  0  0  0
 0  0   5936 264876  15184 460496    0    0     0     0  489  150  1 29 70  0  0  0
 0  0   5936 264960  15184 460496    0    0     0     0  517  161  0 30 70  0  0  0
 0  0   5936 264268  15184 460496    0    0     0     0  215  112  0  8 92  0  0  0
 0  0   5936 264872  15184 460496    0    0     0     0  344   83  0 18 82  0  0  0
 0  0   5936 264704  15192 460496    0    0     0    56  432  126  0 23 77  0  0  0
 0  0   5936 264956  15192 460496    0    0     0     4  382  103  0 19 81  0  0  0
 0  0   5936 264868  15192 460496    0    0     0     0  416  133  1 20 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   5936 264836  15192 460496    0    0     0     0  497  103  0 27 73  0  0  0
 0  0   5936 264860  15192 460500    0    0     0     0  458  118  0 26 74  0  0  0
 0  0   5936 264692  15200 460500    0    0     0    16  327  119  0 15 85  0  0  0
 1  0   5936 263800  15200 460500    0    0     0    12  311  115  0 15 85  0  0  0
 0  0   5936 264440  15200 460500    0    0     0     0  340   99  1 16 83  0  0  0
 0  0   5936 264948  15200 460500    0    0     0     0  501  124  0 27 73  0  0  0
 0  0   5936 264852  15200 460500    0    0     0     0  444  130  0 22 78  0  0  0
 0  0   5936 264600  15208 460500    0    0     0    28  345  138  0 16 84  0  0  0
 0  0   5936 264936  15208 460500    0    0     0     0  191  121  0  7 93  0  0  0
 1  0   5936 264492  15208 460500    0    0     0     8  301  138  0 14 86  0  0  0
 0  0   5936 264936  15208 460500    0    0     0     0  570  151  0 30 70  0  0  0
 1  0   5936 264460  15208 460500    0    0     0     0  230  148  0  8 92  0  0  0
 0  0   5936 264596  15216 460492    0    0     0    16  254  123  0 11 89  0  0  0
 0  0   5936 264932  15216 460500    0    0     0   236  295  142  0 11 89  0  0  0
 0  0   5936 264136  15216 460504    0    0     0     0  238  111  1 10 89  0  0  0
 0  0   5936 264924  15216 460504    0    0     0    12  254  121  0 10 90  0  0  0
 0  0   5936 264384  15216 460504    0    0     0     0  281  118  0 11 89  0  0  0
 0  0   5936 264384  15216 460504    0    0     0     0  303  142  0 13 87  0  0  0
 0  0   5936 264440  15224 460504    0    0     0    32  203  124  0  8 92  0  0  0
 0  0   5936 264824  15224 460504    0    0     0     0  259  146  1  9 90  0  0  0
 0  0   5936 264916  15224 460504    0    0     0     4  300  141  0 13 88  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0   5936 264920  15224 460504    0    0     0     4  307  145  0 13 87  0  0  0
 0  0   5936 265104  15224 460508    0    0     0     0  335  138  0 15 85  0  0  0
 0  0   5936 264696  15232 460508    0    0     0    16  299  153  0 13 87  0  0  0
 0  0   5936 264812  15232 460508    0    0     0     0  427  130  0 22 78  0  0  0
 0  0   5936 264940  15232 460508    0    0     0     4  429  139  0 22 78  0  0  0
 0  0   5936 264896  15232 460512    0    0     0     0  435  140  0 22 78  0  0  0
 0  0   5936 264900  15232 460512    0    0     0     8  448  152  1 22 77  0  0  0
 0  0   5936 264648  15240 460504    0    0     0    24  516  155  0 27 73  0  0  0
 0  0   5936 264416  15240 460512    0    0     0     0  288  130  0 13 87  0  0  0
 0  0   5936 264888  15240 460512    0    0     0     0  566  139  0 30 70  0  0  0
 2  0   5936 264416  15240 460512    0    0     0     8  484  171  0 24 76  0  0  0
 0  0   5936 264804  15240 460512    0    0     0     0  440  131  1 23 76  0  0  0
 1  0   5936 263748  15240 460512    0    0     0    12  365  159  0 17 83  0  0  0
 0  0   5936 264884  15248 460512    0    0     0    28  429  133  0 21 79  0  0  0
 0  0   5936 264408  15248 460512    0    0     0     0  484  165  0 24 76  0  0  0
 0  0   5936 264884  15248 460512    0    0     0     0  208  129  0  8 92  0  0  0
 0  0   5936 264408  15248 460512    0    0     0     4  348  149  0 15 85  0  0  0
 0  0   5936 264636  15248 460512    0    0     0     0  389  126  0 19 81  0  0  0
 1  0   5936 264144  15256 460516    0    0     0    24  474  169  0 23 77  0  0  0
 0  0   5936 264872  15256 460516    0    0     0     0  415  140  1 21 78  0  0  0
 0  0   5936 264872  15256 460516    0    0     0     0  353  143  0 17 83  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   5936 264872  15256 460516    0    0     0     8  394  158  0 17 83  0  0  0
 0  0   5936 264396  15256 460516    0    0     0     0  202  124  0  7 93  0  0  0
 0  0   5936 264620  15264 460508    0    0     0    28  491  165  1 25 74  0  0  0
 2  0   5936 264192  15264 460516    0    0     0     4  373  144  0 17 83  0  0  0
 0  0   5936 264864  15264 460516    0    0     0     0  343  120  0 16 84  0  0  0
 1  0   5936 264324  15264 460516    0    0     0     0  281  138  0 13 88  0  0  0
 0  0   5936 264772  15264 460516    0    0     0     4  395  128  0 20 80  0  0  0
 0  0   5936 264524  15272 460516    0    0     0    16  439  172  0 21 79  0  0  0
 0  0   5936 264512  15272 460516    0    0     0     0  292  119  0 14 86  0  0  0
 0  0   5936 264852  15272 460520    0    0     0     4  406  151  0 18 82  0  0  0
 0  0   5936 264760  15272 460520    0    0     0     0  254  117  0 11 89  0  0  0
 0  0   5936 264316  15272 460520    0    0     0     8  304  147  1 12 87  0  0  0
 0  0   5936 265048  15272 460520    0    0     0     0  347  142  0 16 84  0  0  0
 2  0   5936 263920  15280 460520    0    0     0    28  397  154  0 18 82  0  0  0
 0  0   5936 264844  15280 460520    0    0     0     0  291  130  0 14 86  0  0  0
 1  0   5936 264112  15280 460520    0    0     0     4  363  133  0 16 84  0  0  0
 0  0   5936 264844  15280 460520    0    0     0     4  275  140  0 13 88  0  0  0
 1  0   5936 264372  15280 460520    0    0     0     0  376  143  0 16 84  0  0  0
 0  0   5936 264836  15288 460520    0    0     0    16  397  137  1 19 80  0  0  0
 0  0   5936 264360  15288 460520    0    0     0     0  205  154  0  7 93  0  0  0
 0  0   5936 264492  15288 460520    0    0     0     0  389  127  0 20 80  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   5936 264860  15288 460524    0    0     0     4  406  152  0 19 81  0  0  0
 0  0   5936 264360  15288 460524    0    0     0    12  204  141  0  7 93  0  0  0
 0  0   5936 264348  15296 460524    0    0     0    28  391  155  0 18 82  0  0  0
 0  0   5936 264792  15296 460524    0    0     0     0  301  133  0 14 86  0  0  0
 1  0   5936 264280  15296 460528    0    0     0     0  344  131  0 15 85  0  0  0
 0  0   5936 264348  15296 460528    0    0     0     0  195  121  0  7 93  0  0  0
 0  0   5936 265044  15296 460528    0    0     0    12  394  156  1 17 82  0  0  0
 0  0   5936 264780  15304 460528    0    0     0    24  208  138  0  8 91  1  0  0
 0  0   5936 264340  15304 460528    0    0     0     0  462  177  0 22 78  0  0  0
 0  0   5936 264720  15304 460528    0    0     0     0  335  123  0 16 84  0  0  0
 0  0   5936 264812  15304 460528    0    0     0     0  246  135  0  8 92  0  0  0
 0  0   5936 264720  15304 460528    0    0     0     4  352  134  0 17 83  0  0  0
 1  0   5936 264352  15312 460532    0    0     0    20  341  154  0 14 86  0  0  0
 0  0   5936 264768  15312 460532    0    0     0     0  358  131  0 17 83  0  0  0
