#Date;Time;[CPU]User%;[CPU]Nice%;[CPU]Sys%;[CPU]Wait%;[CPU]Irq%;[CPU]Soft%;[CPU]Steal%;[CPU]Idle%;[CPU]Totl%;[CPU]Guest%;[CPU]GuestN%;[CPU]Intrpt/sec;[CPU]Ctx/sec;[CPU]Proc/sec;[CPU]ProcQue;[CPU]ProcRun;[CPU]L-Avg1;[CPU]L-Avg5;[CPU]L-Avg15;[CPU]RunTot;[CPU]BlkTot;[MEM]Tot;[MEM]Used;[MEM]Free;[MEM]Shared;[MEM]Buf;[MEM]Cached;[MEM]Slab;[MEM]Map;[MEM]Anon;[MEM]AnonH;[MEM]Commit;[MEM]Locked;[MEM]SwapTot;[MEM]SwapUsed;[MEM]SwapFree;[MEM]SwapIn;[MEM]SwapOut;[MEM]Dirty;[MEM]Clean;[MEM]Laundry;[MEM]Inactive;[MEM]PageIn;[MEM]PageOut;[MEM]PageFaults;[MEM]PageMajFaults;[MEM]HugeTotal;[MEM]HugeFree;[MEM]HugeRsvd;[MEM]SUnreclaim;[NET]RxPktTot;[NET]TxPktTot;[NET]RxKBTot;[NET]TxKBTot;[NET]RxCmpTot;[NET]RxMltTot;[NET]TxCmpTot;[NET]RxErrsTot;[NET]TxErrsTot;[DSK]ReadTot;[DSK]WriteTot;[DSK]OpsTot;[DSK]ReadKBTot;[DSK]WriteKBTot;[DSK]KbTot;[DSK]ReadMrgTot;[DSK]WriteMrgTot;[DSK]MrgTot;[NFS]ReadsS;[NFS]WritesS;[NFS]MetaS;[NFS]CommitS;[NFS]Udp;[NFS]Tcp;[NFS]TcpConn;[NFS]BadAuth;[NFS]BadClient;[NFS]ReadsC;[NFS]WritesC;[NFS]MetaC;[NFS]CommitC;[NFS]Retrans;[NFS]AuthRef
20251011;12:53:14;84;0;4;0;0;0;0;12;88;0;0;7069;705;0;671;9;187;58;21;9;0;15995824;4752148;11243676;0;79892;1265408;241468;354736;2813156;0;9354520;16;2097148;1536;2095612;0;0;196;0;0;496548;0;0;233503;0;0;0;0;171468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:15;83;0;4;0;0;0;0;12;88;0;0;7047;795;3;669;9;244;72;25;9;0;15995824;4948196;11047628;0;79892;1265408;241468;352396;2887792;0;9314456;16;2097148;1536;2095612;0;0;196;0;0;496548;0;0;282244;0;0;0;0;171468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:16;86;0;2;0;0;0;0;12;88;0;0;7040;686;0;668;9;244;72;25;9;0;15995824;5164916;10830908;0;79892;1265404;241460;352300;3284796;0;9314476;16;2097148;1536;2095612;0;0;196;0;0;496548;0;0;99213;0;0;0;0;171456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:17;85;0;2;0;0;0;0;13;87;0;0;7182;914;6;668;9;244;72;25;9;0;15995824;5406080;10589744;0;79892;1265404;241464;352300;3442724;0;9314476;16;2097148;1536;2095612;0;0;196;0;0;496548;0;0;138701;0;0;0;0;171460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:18;84;0;4;0;0;0;0;12;88;0;0;7028;645;0;668;9;244;72;25;9;0;15995824;5591052;10404772;0;79892;1265404;241464;352300;3726028;0;9314476;16;2097148;1536;2095612;0;0;196;0;0;496548;0;0;234668;0;0;0;0;171460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:19;84;0;3;0;0;0;0;12;88;0;0;7055;666;0;668;9;244;72;25;9;0;15995824;5691348;10304476;0;79892;1265404;241464;352300;3833408;0;9314476;16;2097148;1536;2095612;0;0;196;0;0;496548;0;0;157860;0;0;0;0;171460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:20;87;0;1;0;0;0;0;13;87;0;0;7035;757;0;666;10;297;86;30;10;0;15995824;5771736;10224088;0;79892;1265404;241464;352300;3934912;0;9314476;16;2097148;1536;2095612;0;0;196;0;0;496548;0;0;25451;0;0;0;0;171460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:21;86;0;1;0;0;0;0;12;88;0;0;7093;733;0;666;9;297;86;30;9;0;15995824;5876316;10119508;0;79892;1265404;241464;352300;4041624;0;9314480;16;2097148;1536;2095612;0;0;196;0;0;496548;0;0;26639;0;0;0;0;171460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:22;86;0;1;0;0;0;0;13;87;0;0;7116;799;6;666;9;297;86;30;9;0;15995824;5947216;10048608;0;79892;1265404;241448;352300;4130088;0;9314480;16;2097148;1536;2095612;0;0;196;0;0;496548;0;0;22896;0;0;0;0;171460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:23;86;0;1;0;0;0;0;12;88;0;0;7116;667;0;666;9;297;86;30;9;0;15995824;6052420;9943404;0;79892;1265404;241448;352300;4233284;16384;9314480;16;2097148;1536;2095612;0;0;196;0;0;496548;0;0;25823;0;0;0;0;171460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
